NAME,DESCRIPTION,START-LAT,START-LNG,END-LAT,END-LONG,DURATION,IMAGE,GOAL
Shoulder Wheel,,45.992141,8.947703,45.992141,8.947703,5,,ARMS
Air Walker,,45.992141,8.947703,45.992141,8.947703,5,,LEGS
Pull Down,,45.992141,8.947703,45.992141,8.947703,5,,BACK
Ab Bench,,45.992141,8.947703,45.992141,8.947703,5,,ABS
Cross Trainer,,45.992141,8.947703,45.992141,8.947703,5,,CHEST
flessioni,,45.992141,8.947703,45.992141,8.947703,5,,CHEST
Surfboard,,45.992141,8.947703,45.992141,8.947703,5,,LEGS
Lumbar Massage,,45.992141,8.947703,45.992141,8.947703,5,,BACK
Waist Twister,,45.992141,8.947703,45.992141,8.947703,5,,ABS
Pull-Up Bar,,45.992141,8.947703,45.992141,8.947703,5,,ARMS
Parallel Bars,,45.992141,8.947703,45.992141,8.947703,5,,ABS
Horizontal Bars,,45.992141,8.947703,45.992141,8.947703,5,,ABS
Stretching up1 paradiso,,45.992141,8.947703,45.992141,8.947703,2,,STRETCHING_TOP_BODY
Stretching core1 paradiso,,45.992141,8.947703,45.992141,8.947703,2,,STRETCHING_CORE_BODY
Stretching down1 paradiso,,45.992141,8.947703,45.992141,8.947703,2,,STRETCHING_LOW_BODY
Stretching up2 paradiso,,45.992141,8.947703,45.992141,8.947703,2,,STRETCHING_TOP_BODY
Stretching core3 paradiso,,45.992141,8.947703,45.992141,8.947703,2,,STRETCHING_CORE_BODY
Stretching down4 paradiso,,45.992141,8.947703,45.992141,8.947703,2,,STRETCHING_LOW_BODY
Salita degli Angioli,,46.000142,8.949094,46.000142,8.949094,5,,LEGS
Stretching up1 salita,,46.000142,8.949094,46.000142,8.949094,2,,STRETCHING_TOP_BODY
Stretching core1 salita,,46.000142,8.949094,46.000142,8.949094,2,,STRETCHING_CORE_BODY
Stretching down1 salita,,46.000142,8.949094,46.000142,8.949094,2,,STRETCHING_LOW_BODY
Stretching up2 salita,,46.000142,8.949094,46.000142,8.949094,2,,STRETCHING_TOP_BODY
Stretching core3 salita,,46.000142,8.949094,46.000142,8.949094,2,,STRETCHING_CORE_BODY
Stretching down4 salita,,46.000142,8.949094,46.000142,8.949094,2,,STRETCHING_LOW_BODY
Bench,,46.001295,8.949916,46.001295,8.949916,5,,ABS
Stretching up1 bench,,46.001295,8.949916,46.001295,8.949916,2,,STRETCHING_TOP_BODY
Stretching core1 bench,,46.001295,8.949916,46.001295,8.949916,2,,STRETCHING_CORE_BODY
Stretching down1 bench,,46.001295,8.949916,46.001295,8.949916,2,,STRETCHING_LOW_BODY
Stretching up2 bench,,46.001295,8.949916,46.001295,8.949916,2,,STRETCHING_TOP_BODY
Stretching core3 bench,,46.001295,8.949916,46.001295,8.949916,2,,STRETCHING_CORE_BODY
Stretching down4 bench,,46.001295,8.949916,46.001295,8.949916,2,,STRETCHING_LOW_BODY
CIANI,,46.003346,8.960614,46.003346,8.960614,5,,ARMS
name1,,46.003346,8.960614,46.003346,8.960614,5,,LEGS
name2,,46.003346,8.960614,46.003346,8.960614,5,,ABS
name3,,46.003346,8.960614,46.003346,8.960614,5,,ABS
name4,,46.003346,8.960614,46.003346,8.960614,5,,ARMS
name5,,46.003346,8.960614,46.003346,8.960614,5,,CHEST
name6,,46.003346,8.960614,46.003346,8.960614,5,,ARMS
name7,,46.003346,8.960614,46.003346,8.960614,5,,BACK
name8,,46.003346,8.960614,46.003346,8.960614,5,,ARMS
Stretching up1 ciani,,46.003346,8.960614,46.003346,8.960614,2,,STRETCHING_TOP_BODY
Stretching core1 ciani,,46.003346,8.960614,46.003346,8.960614,2,,STRETCHING_CORE_BODY
Stretching down1 ciani,,46.003346,8.960614,46.003346,8.960614,2,,STRETCHING_LOW_BODY
Stretching up2 ciani,,46.003346,8.960614,46.003346,8.960614,2,,STRETCHING_TOP_BODY
Stretching core3 ciani,,46.003346,8.960614,46.003346,8.960614,2,,STRETCHING_CORE_BODY
Stretching down4 ciani,,46.003346,8.960614,46.003346,8.960614,2,,STRETCHING_LOW_BODY
Stadio,,46.024757, 8.960256,46.024757, 8.960256,5,,ARMS
name1,,46.024757, 8.960256,46.024757, 8.960256,5,,LEGS
name2,,46.024757, 8.960256,46.024757, 8.960256,5,,ABS
name3,,46.024757, 8.960256,46.024757, 8.960256,5,,ABS
name4,,46.024757, 8.960256,46.024757, 8.960256,5,,ARMS
name5,,46.024757, 8.960256,46.024757, 8.960256,5,,CHEST
name6,,46.024757, 8.960256,46.024757, 8.960256,5,,ARMS
name7,,46.024757, 8.960256,46.024757, 8.960256,5,,BACK
name8,,46.024757, 8.960256,46.024757, 8.960256,5,,ARMS
Stretching up1 stadio,,46.024757, 8.960256,46.024757, 8.960256,2,,STRETCHING_TOP_BODY
Stretching core1 stadio,,46.024757, 8.960256,46.024757, 8.960256,2,,STRETCHING_CORE_BODY
Stretching down1 stadio,,46.024757, 8.960256,46.024757, 8.960256,2,,STRETCHING_LOW_BODY
Stretching up2 stadio,,46.024757, 8.960256,46.024757, 8.960256,2,,STRETCHING_TOP_BODY
Stretching core3 stadio,,46.024757, 8.960256,46.024757, 8.960256,2,,STRETCHING_CORE_BODY
Stretching down4 stadio,,46.024757, 8.960256,46.024757, 8.960256,2,,STRETCHING_LOW_BODY
Bench in piazza indipendenza,,46.004923, 8.955090,46.004923, 8.955090,5,,ABS
Bench in piazza indipendenza,,46.004923, 8.955090,46.004923, 8.955090,5,,ARMS
Stretching up1 bench,,46.004923, 8.955090,46.004923, 8.955090,2,,STRETCHING_TOP_BODY
Stretching core1 bench,,46.004923, 8.955090,46.004923, 8.955090,2,,STRETCHING_CORE_BODY
Stretching down1 bench,,46.004923, 8.955090,46.004923, 8.955090,2,,STRETCHING_LOW_BODY
Stretching up2 bench,,46.004923, 8.955090,46.004923, 8.955090,2,,STRETCHING_TOP_BODY
Stretching core3 bench,,46.004923, 8.955090,46.004923, 8.955090,2,,STRETCHING_CORE_BODY
Stretching down4 bench,,46.004923, 8.955090,46.004923, 8.955090,2,,STRETCHING_LOW_BODY
Bench in parco tassino,,46.001458, 8.946576,46.001458, 8.946576,5,,ABS
Stretching up1 bench,,46.001458, 8.946576,46.001458, 8.946576,2,,STRETCHING_TOP_BODY
Stretching core1 bench,,46.001458, 8.946576,46.001458, 8.946576,2,,STRETCHING_CORE_BODY
Stretching down1 bench,,46.001458, 8.946576,46.001458, 8.946576,2,,STRETCHING_LOW_BODY
Stretching up2 bench,,46.001458, 8.946576,46.001458, 8.946576,2,,STRETCHING_TOP_BODY
Stretching core3 bench,,46.001458, 8.946576,46.001458, 8.946576,2,,STRETCHING_CORE_BODY
Stretching down4 bench,,46.001458, 8.946576,46.001458, 8.946576,2,,STRETCHING_LOW_BODY
Bench in lungo lago,,45.999297, 8.949597,45.999297, 8.949597,5,,ABS
Stretching up1 bench,,45.999297, 8.949597,45.999297, 8.949597,2,,STRETCHING_TOP_BODY
Stretching core1 bench,,45.999297, 8.949597,45.999297, 8.949597,2,,STRETCHING_CORE_BODY
Stretching down1 bench,,45.999297, 8.949597,45.999297, 8.949597,2,,STRETCHING_LOW_BODY
Stretching up2 bench,,45.999297, 8.949597,45.999297, 8.949597,2,,STRETCHING_TOP_BODY
Stretching core3 bench,,45.999297, 8.949597,45.999297, 8.949597,2,,STRETCHING_CORE_BODY
Stretching down4 bench,,45.999297, 8.949597,45.999297, 8.949597,2,,STRETCHING_LOW_BODY
